Year,Tm,Home_win_pct,Home_Games,Home_Wins,Away_win_pct,Away_Games,Away_Wins,Difference,Absolute Difference
1884,STP,NA,NA,NA,0.222222222,9,2,#VALUE!,#VALUE!
1873,ATH,0.777777778,27,21,0.28,25,7,0.497777778,0.497777778
1897,CLV,0.753846154,65,49,0.298507463,67,20,0.455338691,0.455338691
1891,MIL,0.761904762,21,16,0.333333333,15,5,0.428571429,0.428571429
1883,BUF,0.734693878,49,36,0.326530612,49,16,0.408163265,0.408163265
1877,STL,0.666666667,30,20,0.266666667,30,8,0.4,0.4
1893,NYG,0.690140845,71,49,0.292307692,65,19,0.397833153,0.397833153
1873,NYU,0.709677419,31,22,0.318181818,22,7,0.391495601,0.391495601
1883,BSN,0.836734694,49,41,0.448979592,49,22,0.387755102,0.387755102
1885,LOU,0.660714286,56,37,0.285714286,56,16,0.375,0.375
1871,ROK,0.428571429,7,3,0.055555556,18,1,0.373015873,0.373015873
1873,BRA,0.482758621,29,14,0.115384615,26,3,0.367374005,0.367374005
1872,ATH,0.785714286,28,22,0.421052632,19,8,0.364661654,0.364661654
1871,KEK,0.555555556,9,5,0.2,10,2,0.355555556,0.355555556
1896,CIN,0.772727273,66,51,0.419354839,62,26,0.353372434,0.353372434
1895,BSN,0.705882353,68,48,0.353846154,65,23,0.352036199,0.352036199
1871,NYU,0.631578947,19,12,0.285714286,14,4,0.345864662,0.345864662
1902,PHA,0.767123288,73,56,0.421875,64,27,0.345248288,0.345248288
1949,BOS,0.792207792,77,61,0.448717949,78,35,0.343489843,0.343489843
1885,DTN,0.557692308,52,29,0.214285714,56,12,0.343406593,0.343406593
1945,PHA,0.506493506,77,39,0.171052632,76,13,0.335440875,0.335440875
1996,COL,0.679012346,81,55,0.345679012,81,28,0.333333333,0.333333333
1987,MIN,0.691358025,81,56,0.358024691,81,29,0.333333333,0.333333333
1884,ALT,0.333333333,18,6,0,7,0,0.333333333,0.333333333
1894,WHS,0.516129032,62,32,0.185714286,70,13,0.330414747,0.330414747
1884,WHS,0.553846154,65,36,0.224489796,49,11,0.329356358,0.329356358
1891,LOU,0.549295775,71,39,0.220588235,68,15,0.328707539,0.328707539
1877,BSN,0.84375,32,27,0.517241379,29,15,0.326508621,0.326508621
1884,BAL,0.736842105,57,42,0.411764706,51,21,0.325077399,0.325077399
1888,CLE,0.55,60,33,0.226666667,75,17,0.323333333,0.323333333
1978,HOU,0.617283951,81,50,0.296296296,81,24,0.320987654,0.320987654
1874,CHI,0.642857143,28,18,0.322580645,31,10,0.320276498,0.320276498
1952,BOS,0.649350649,77,50,0.337662338,77,26,0.311688312,0.311688312
